CASE;QUESTNNR;MODE;SD01;SD02;SD03_01;SD06;SD07;SD08;SD09;CM01;CM02;CM03;CM04;CM05;CM06;CM07;CM08;CM09;CM10;CM11;CM12;CM13;CM14;TIME001;TIME002;TIME003;TIME004;TIME005;TIME006;TIME007;TIME_SUM;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI;DEG_TIME;type
262;TCM-Survey;interview;1;1;21;4;1;5;1;1;2;1;1;1;4;2;;1;2;1;1;2;1;;;30;74;18;14;48;184;1;0;5;5;8;1;1,16;15;1
263;TCM-Survey;interview;1;2;49;3;6;5;1;1;1;1;2;1;7;1;;2;2;1;3;2;1;;;39;49;35;23;52;198;1;0;5;5;8;1;0,89;4;1
264;TCM-Survey;interview;1;2;21;4;2;1;2;1;1;1;3;2;8;1;;1;2;1;2;1;1;;;136;43;25;30;42;276;1;0;5;5;12;4;0,77;0;1
265;TCM-Survey;interview;1;1;27;7;1;12;1;1;1;2;5;1;4;1;;1;2;1;4;2;1;;;144;65;37;24;33;303;1;0;5;5;12;7;0,72;1;1
266;TCM-Survey;interview;1;2;18;2;6;1;2;1;1;2;1;1;8;9;;1;2;1;1;1;2;;;55;46;22;21;50;194;1;0;5;5;8;3;0,93;1;1
267;TCM-Survey;interview;1;1;29;7;2;4;1;1;2;1;2;2;6;1;;2;2;1;3;1;1;;;31;35;30;17;31;144;1;0;5;5;12;4;1,21;12;1
268;TCM-Survey;interview;1;1;40;3;1;12;2;1;2;1;7;7;7;1;;1;2;1;1;1;1;;;41;45;25;21;34;166;1;0;5;5;4;1;1,04;4;1
270;TCM-Survey;interview;1;1;24;4;1;6;2;2;2;1;2;1;7;1;;1;1;1;1;2;1;;;56;23;12;11;24;126;1;0;5;5;12;4;1,62;31;1
272;TCM-Survey;interview;1;1;18;2;6;1;2;1;1;1;5;2;2;1;;2;2;1;5;1;2;;;51;44;30;18;26;169;1;0;5;5;12;4;1,06;5;1
273;TCM-Survey;interview;1;2;44;7;1;5;2;1;2;1;4;5;3;1;;2;2;1;1;2;1;;;70;44;33;22;46;215;1;0;5;5;8;3;0,83;0;1
274;TCM-Survey;interview;1;1;35;3;2;4;2;1;1;1;2;1;7;1;;2;2;2;3;1;1;;;78;42;44;18;60;242;1;0;5;5;8;1;0,79;1;1
275;TCM-Survey;interview;1;2;21;4;6;4;2;1;2;1;5;5;2;1;;1;2;1;1;2;1;;;51;38;13;12;28;142;1;0;5;5;12;4;1,38;19;1
276;TCM-Survey;interview;1;2;30;7;1;12;1;1;2;1;2;1;6;1;;1;2;1;3;2;1;;;29;35;28;16;24;132;1;0;5;5;16;8;1,33;18;1
277;TCM-Survey;interview;1;1;87;3;3;4;1;1;2;1;2;1;7;1;;2;2;5;5;2;1;;;99;116;81;24;36;356;1;0;5;5;8;1;0,6;0;1
278;TCM-Survey;interview;1;2;16;2;6;2;2;2;3;6;6;6;2;8;;2;2;2;4;2;1;;;11;35;20;13;27;106;1;0;5;5;8;3;1,65;51;1
279;TCM-Survey;interview;1;1;20;4;1;5;1;1;2;1;1;1;6;1;;1;1;1;1;2;1;;;45;45;18;22;39;169;1;0;5;5;16;8;1,06;5;1
280;TCM-Survey;interview;1;1;20;4;2;1;2;1;1;2;1;2;8;9;;1;2;1;5;1;2;;;318;48;32;21;35;454;1;0;5;5;8;1;0,75;0;1
281;TCM-Survey;interview;1;2;26;4;6;4;1;1;1;1;2;1;4;1;;2;2;1;1;1;1;;;60;93;13;13;39;218;1;0;5;5;12;4;1,12;13;1
282;TCM-Survey;interview;1;1;39;7;1;5;1;1;2;1;4;2;5;1;;2;2;1;1;2;1;;;38;45;19;17;43;162;1;0;5;5;8;1;1,12;8;1
283;TCM-Survey;interview;1;2;66;2;1;12;2;1;2;1;2;2;7;1;;2;2;1;2;1;1;;;594;64;38;48;72;275;1;0;5;5;8;1;0,46;0;1
284;sociodemographics;interview;;1;21;4;1;3;;;;;;;;;;;;;;;;;;14;23;4;;;0;1;0;3;3;0;0;;100;1
285;TCM-Survey;interview;1;1;70;3;3;12;2;1;2;1;3;2;4;1;;1;2;1;1;2;1;;;31;44;14;13;25;127;1;0;5;5;12;4;1,47;23;1
286;TCM-Survey;interview;1;1;15;2;6;1;2;2;2;1;7;7;2;1;;1;2;1;1;2;1;;;26;32;18;16;26;118;1;0;5;5;12;4;1,46;23;1
287;TCM-Survey;interview;1;1;16;2;1;3;2;1;1;1;1;1;6;1;;2;2;1;1;2;1;;;28;36;18;23;42;147;1;0;5;5;16;8;1,23;14;1
289;TCM-Survey;interview;1;1;30;2;2;1;1;1;2;1;1;1;7;1;;3;3;1;2;2;1;;;51;57;39;17;42;206;1;0;5;5;4;1;0,88;2;1
290;TCM-Survey;interview;1;1;23;3;1;6;2;2;2;1;5;5;4;1;;2;2;1;1;2;1;;;46;22;14;8;16;106;1;0;5;5;12;4;1,9;45;1
292;TCM-Survey;interview;1;1;21;4;1;3;2;1;1;2;5;4;4;2;;2;2;1;1;2;1;;;279;87;26;21;36;449;1;0;5;5;8;1;0,7;0;1
294;TCM-Survey;interview;1;1;49;6;4;7;1;1;2;1;3;1;2;1;;3;3;1;2;3;1;;;95;51;43;22;86;297;1;0;5;5;8;1;0,65;0;1
296;TCM-Survey;interview;1;1;21;4;1;3;2;1;2;1;3;3;4;1;;2;2;1;3;2;1;;;49;75;21;16;22;183;1;0;5;5;0;0;1,13;10;1
297;TCM-Survey;interview;1;1;26;7;1;6;2;1;2;1;5;3;6;1;;2;2;1;1;2;1;;;38;27;13;11;20;109;1;0;5;5;12;4;1,68;34;1
298;TCM-Survey;interview;1;2;23;7;1;2;2;2;2;1;7;4;1;1;;4;4;1;5;2;1;;;130;38;45;48;57;318;1;0;5;5;12;4;0,63;2;1
299;TCM-Survey;interview;1;1;45;7;1;12;1;1;1;4;1;1;7;7;;1;1;1;1;1;4;;;51;82;25;28;23;209;1;0;5;5;8;4;0,96;6;1
300;TCM-Survey;interview;1;1;48;7;2;4;2;2;2;1;2;2;5;1;;2;2;1;1;2;1;;;56;37;19;21;48;181;1;0;5;5;12;4;1,01;5;1
302;TCM-Survey;interview;1;2;67;8;3;12;1;2;3;6;6;6;7;8;;2;2;1;2;2;1;;;17;35;51;12;36;151;1;0;5;5;12;4;1,46;30;1
303;TCM-Survey;interview;1;2;43;4;1;12;1;1;1;4;1;1;7;7;;1;2;1;1;1;4;;;18;46;8;13;15;100;1;0;5;5;12;5;2,15;58;1
304;TCM-Survey;interview;1;2;50;4;1;7;2;2;2;1;4;2;8;1;;2;2;1;2;2;1;;;40;31;17;14;24;126;1;0;5;5;12;4;1,4;20;1
305;TCM-Survey;interview;1;2;50;2;2;1;2;2;2;1;6;2;8;8;;3;3;1;1;2;1;;;27;33;30;13;31;134;1;0;5;5;4;1;1,34;19;1
306;TCM-Survey;interview;1;2;21;4;1;7;1;2;3;1;6;6;4;1;;3;3;1;3;3;6;;;86;90;28;30;38;272;1;0;5;5;8;1;0,71;0;1
308;TCM-Survey;interview;1;1;70;7;3;10;2;1;2;1;2;2;2;1;;1;2;1;1;2;1;;;53;33;15;19;40;160;1;0;5;5;12;4;1,17;9;1
309;TCM-Survey;interview;1;2;31;6;1;4;1;1;2;1;1;1;1;1;;2;2;1;1;2;1;;;93;35;40;29;55;252;1;0;5;5;16;8;0,75;3;1
311;TCM-Survey;interview;1;1;24;7;1;3;1;1;1;1;3;3;4;1;;2;2;1;1;1;2;;;285;59;22;14;44;424;1;0;5;5;12;4;0,84;4;1
312;TCM-Survey;interview;1;2;24;3;1;8;2;1;2;1;3;2;4;1;;1;2;1;2;2;1;;;87;60;24;13;44;228;1;0;5;5;12;4;0,92;5;1
313;TCM-Survey;interview;1;1;28;7;1;12;2;1;2;1;5;2;5;1;;1;1;1;1;1;2;;;405;42;21;23;30;169;1;0;5;5;8;1;0,87;4;1
314;TCM-Survey;interview;1;1;66;5;3;6;2;1;2;1;5;4;7;1;;2;2;1;2;2;1;;;47;41;44;11;29;172;1;0;5;5;8;1;1,14;12;1
315;TCM-Survey;interview;1;1;47;3;1;5;2;1;1;2;1;1;6;2;;2;1;2;5;1;2;;;63;134;79;24;41;341;1;0;5;5;4;1;0,63;0;1
316;TCM-Survey;interview;1;1;24;6;2;3;2;1;4;1;3;3;4;1;;2;2;1;2;2;1;;;78;44;15;17;32;186;1;0;5;5;12;4;1,1;8;1
317;TCM-Survey;interview;1;1;18;2;2;1;2;1;-9;1;1;2;7;1;;1;1;1;1;2;1;;;38;41;29;17;21;146;1;0;5;5;8;5;1,23;13;1
318;TCM-Survey;interview;1;2;18;5;6;1;1;1;2;1;1;1;8;9;;1;2;1;1;2;1;;;88;23;16;15;23;165;1;0;5;5;16;8;1,37;22;1
319;TCM-Survey;interview;1;1;22;4;6;1;2;1;2;1;4;5;7;1;;2;2;1;1;2;1;;;46;38;11;11;29;135;1;0;5;5;8;1;1,49;25;1
320;TCM-Survey;interview;1;1;18;2;6;1;1;2;2;1;2;1;3;1;;1;2;1;4;2;1;;;131;64;26;39;30;290;1;0;5;5;16;8;0,74;2;1
321;TCM-Survey;interview;-9;2;73;7;3;5;2;1;2;1;3;4;2;1;;2;2;1;4;2;1;;;207;35;21;29;30;322;1;0;5;5;16;8;0,9;6;1
322;TCM-Survey;interview;1;2;34;7;1;11;1;1;2;-9;4;7;7;1;;1;1;1;1;1;2;;;44;63;30;12;41;190;1;0;5;5;8;5;1,03;8;1
323;TCM-Survey;interview;1;1;27;6;1;5;1;1;2;1;2;1;1;1;;2;2;2;5;2;1;;;42;41;36;23;46;188;1;0;5;5;8;1;0,92;3;1
324;TCM-Survey;interview;1;1;50;3;1;7;1;1;2;1;2;1;7;1;;1;1;1;1;1;1;;;45;63;28;16;54;206;1;0;5;5;12;4;0,92;4;1
325;TCM-Survey;interview;1;2;23;4;1;12;2;2;2;1;5;5;8;1;;2;2;5;5;2;1;;;42;40;21;35;33;171;1;0;5;5;8;3;1,03;6;1
326;TCM-Survey;interview;1;1;78;4;3;7;1;1;2;1;5;3;4;1;;2;2;1;1;2;1;;;48;34;17;14;31;144;1;0;5;5;12;4;1,27;13;1
327;TCM-Survey;interview;1;2;21;4;1;5;2;1;2;1;2;5;5;1;;1;2;1;4;2;1;;;92;56;26;17;25;216;1;0;5;5;8;3;0,97;6;1
328;TCM-Survey;interview;1;2;18;2;6;1;2;1;2;1;1;1;6;1;;2;2;1;1;2;1;;;126;72;27;28;27;280;1;0;5;5;8;1;0,79;3;1
329;TCM-Survey;interview;1;1;23;4;1;3;1;1;2;1;4;1;4;1;;2;2;1;1;2;1;;;35;30;33;13;30;141;1;0;5;5;12;5;1,27;16;1
330;TCM-Survey;interview;1;2;21;4;6;1;2;1;1;3;2;1;8;6;;2;2;1;1;2;1;;;39;47;16;13;21;136;1;0;5;5;4;1;1,39;20;1
331;TCM-Survey;interview;1;2;34;7;1;11;2;1;2;1;7;5;7;1;;2;2;1;1;2;1;;;93;22;15;14;31;175;1;0;5;5;16;8;1,34;21;1
333;TCM-Survey;interview;1;2;20;4;6;1;2;1;1;2;4;1;6;2;;2;2;1;1;2;1;;;37;60;23;25;36;181;1;0;5;5;12;5;0,99;5;1
334;TCM-Survey;interview;1;2;28;2;2;6;2;2;3;6;6;6;3;1;;3;3;2;5;2;1;;;13;93;46;21;62;235;1;0;5;5;12;4;1,1;31;1
335;TCM-Survey;interview;1;1;24;5;1;5;2;1;2;1;4;4;2;1;;2;2;1;2;2;1;;;90;71;28;37;88;314;1;0;5;5;8;1;0,6;0;1
336;TCM-Survey;interview;1;1;74;-9;3;12;2;1;2;1;3;3;2;1;;2;2;1;3;2;1;;;303;30;31;19;36;419;1;0;5;5;16;8;0,88;5;1
337;TCM-Survey;interview;1;2;17;2;6;1;1;1;2;1;7;3;2;1;;2;2;1;4;2;1;;;83;48;41;15;34;221;1;0;5;5;12;4;0,89;3;1
338;TCM-Survey;interview;1;1;14;2;6;1;2;1;1;2;2;1;8;9;;1;2;1;2;2;1;;;79;55;18;17;27;196;1;0;5;5;12;4;1,05;8;1
339;TCM-Survey;interview;1;1;43;4;1;4;2;1;2;1;3;1;5;1;;2;1;1;1;1;1;;;39;48;27;17;35;166;1;0;5;5;12;4;1,06;5;1
341;TCM-Survey;interview;1;-9;20;4;1;4;2;1;2;1;5;3;4;1;;2;2;1;1;2;1;;;43;56;16;17;26;158;1;0;5;5;16;8;1,2;12;1
343;TCM-Survey;interview;1;1;26;7;1;12;2;1;2;1;2;1;7;1;;1;2;1;2;2;1;;;39;40;25;12;29;145;1;0;5;5;12;4;1,25;13;1
344;TCM-Survey;interview;1;1;56;6;1;7;2;1;2;1;5;1;2;1;;2;2;1;1;2;1;;;51;57;14;27;16;165;1;0;5;5;8;3;1,3;20;1
345;TCM-Survey;interview;1;2;17;2;2;1;2;2;2;1;7;2;6;1;;2;2;1;3;2;1;;;33;42;19;19;21;134;1;0;5;5;8;1;1,33;16;1
347;TCM-Survey;interview;1;2;16;2;1;4;2;1;2;1;1;1;3;1;;2;2;1;1;2;1;;;55;36;17;22;24;154;1;0;5;5;12;4;1,19;11;1
348;TCM-Survey;interview;1;2;72;7;3;12;1;1;1;2;3;1;7;4;;2;2;1;3;1;2;;;678;36;24;17;23;153;1;0;5;5;8;1;1;9;1
349;TCM-Survey;interview;1;1;19;4;6;3;2;1;2;1;3;3;3;1;;1;2;1;1;2;1;;;34;28;16;16;22;116;1;0;5;5;12;4;1,49;25;1
350;TCM-Survey;interview;1;2;50;7;1;9;1;1;1;5;1;1;7;7;;1;1;2;3;1;5;;;34;80;26;22;32;194;1;0;5;5;8;1;1;7;1
351;TCM-Survey;interview;1;1;30;7;1;4;2;1;1;2;3;5;5;2;;1;1;3;3;2;1;;;126;75;39;18;53;311;1;0;5;5;4;1;0,67;1;1
352;TCM-Survey;interview;1;2;33;6;1;5;2;2;2;1;3;1;3;1;;2;2;1;1;2;1;;;117;54;25;15;36;247;1;0;5;5;12;4;0,9;3;1
353;TCM-Survey;interview;1;3;24;4;1;4;1;1;1;1;1;1;2;1;;1;2;5;5;2;1;;;84;71;17;33;30;235;1;0;5;5;4;1;0,89;6;1
354;TCM-Survey;interview;1;2;26;5;1;12;2;1;2;1;2;2;6;1;;1;2;1;5;2;1;;;49;44;18;18;27;156;1;0;5;5;12;4;1,16;8;1
355;TCM-Survey;interview;1;1;18;4;6;7;2;1;1;1;1;2;4;1;;1;1;1;3;1;1;;;50;52;23;28;46;199;1;0;5;5;4;1;0,88;1;1
356;TCM-Survey;interview;1;2;20;4;6;1;2;1;2;1;1;1;4;1;;1;1;4;5;2;1;;;25;25;12;12;22;96;1;0;5;5;8;1;1,82;41;1
357;TCM-Survey;interview;1;1;35;4;1;12;2;1;1;2;3;3;7;3;;1;1;1;5;2;1;;;906;45;27;32;25;182;1;0;5;5;8;1;0,79;4;1
358;TCM-Survey;interview;1;2;32;3;1;10;2;1;2;1;5;3;7;1;;1;2;1;1;2;1;;;184;28;16;16;30;274;1;0;5;5;12;4;1,15;15;1
360;TCM-Survey;interview;1;2;16;2;6;5;2;2;4;6;6;1;5;1;;3;3;1;1;2;1;;;55;46;15;17;43;176;1;0;5;5;8;1;1,1;7;1
361;TCM-Survey;interview;1;2;51;3;1;6;1;1;1;1;5;2;7;1;;2;2;1;4;1;1;;;30;39;25;11;32;137;1;0;5;5;0;0;1,34;17;1
364;TCM-Survey;interview;1;1;20;4;6;4;1;1;2;1;7;7;2;1;;1;1;3;1;2;1;;;38;35;20;14;20;127;1;0;5;5;12;4;1,4;20;1
365;TCM-Survey;interview;1;1;66;5;3;8;2;1;2;1;3;2;7;1;;2;2;1;1;2;1;;;337;41;19;12;49;458;1;0;5;5;8;1;0,96;9;1
366;TCM-Survey;interview;1;1;20;2;1;6;2;1;2;1;5;5;2;1;;2;2;1;4;2;1;;;48;31;21;30;39;169;1;0;5;5;8;1;1,04;7;1
367;TCM-Survey;interview;1;2;49;3;1;11;2;1;2;1;2;1;5;1;;2;2;1;3;2;1;;;46;56;30;16;32;180;1;0;5;5;8;3;1,01;5;1
369;TCM-Survey;interview;1;2;47;4;1;12;2;1;2;1;2;1;7;3;;1;1;1;1;1;3;;;152;57;32;13;33;287;1;0;5;5;12;5;0,88;6;1
370;TCM-Survey;interview;1;2;30;5;1;11;2;1;2;1;5;4;1;1;;2;2;1;1;2;1;;;909;20;24;17;43;157;1;0;5;5;16;8;1,04;13;1
372;TCM-Survey;interview;1;2;15;2;6;11;2;2;3;6;6;6;1;1;;1;2;1;1;2;1;;;83;32;24;31;40;210;1;0;5;5;8;1;0,91;4;1
373;TCM-Survey;interview;1;1;50;7;1;12;2;2;1;2;1;1;7;1;;2;2;1;1;1;1;;;154;28;21;16;24;243;1;0;5;5;12;4;1,15;14;1
375;TCM-Survey;interview;1;1;52;7;1;12;1;1;1;2;2;1;3;4;;1;2;1;1;1;1;;;49;58;19;16;37;179;1;0;5;5;8;1;1,05;5;1
376;TCM-Survey;interview;1;1;60;4;1;6;1;1;1;1;4;1;6;1;;1;1;1;3;1;1;;;42;43;25;17;26;153;1;0;5;5;12;4;1,15;8;1
377;TCM-Survey;interview;1;2;42;6;1;7;2;2;2;1;2;1;2;1;;2;2;1;1;2;1;;;254;51;25;24;44;398;1;0;5;5;8;1;0,73;0;1
378;TCM-Survey;interview;1;1;23;4;1;4;2;1;2;1;1;1;2;1;;1;2;1;1;2;1;;;31;35;12;14;20;112;1;0;5;5;12;4;1,62;31;1
379;TCM-Survey;interview;1;1;25;4;1;4;2;2;3;1;6;6;2;1;;3;3;1;5;2;1;;;19;41;28;19;41;148;1;0;5;5;4;4;1,32;19;1
380;TCM-Survey;interview;1;1;57;4;1;7;2;1;2;1;2;7;6;1;;2;2;3;3;1;1;;;142;54;51;23;47;317;1;0;5;5;8;1;0,65;0;1
382;TCM-Survey;interview;1;1;78;3;3;12;2;1;2;1;2;2;7;1;;2;2;1;1;2;1;;;30;36;18;15;24;123;1;0;5;5;8;1;1,42;21;1
384;TCM-Survey;interview;1;3;25;4;6;3;1;2;3;1;5;4;3;1;;2;2;1;1;2;1;;;421;45;21;35;44;198;1;0;5;5;0;0;0,72;1;1
385;TCM-Survey;interview;1;2;33;6;1;7;2;1;2;1;7;5;3;1;;2;2;1;5;2;1;;;747;38;23;22;34;170;1;0;5;5;12;4;0,84;3;1
386;TCM-Survey;interview;1;1;29;6;1;7;2;1;2;1;5;5;2;1;;1;1;3;1;2;1;;;32;41;24;12;39;148;1;0;5;5;12;4;1,25;13;1
387;TCM-Survey;interview;1;1;43;5;1;7;2;1;1;4;3;1;6;6;;1;1;1;1;1;4;;;44;43;26;18;58;189;1;0;5;5;8;1;0,97;3;1
389;TCM-Survey;interview;1;2;40;6;1;11;2;1;1;1;1;1;7;1;;1;1;1;1;1;1;;;35;47;28;16;36;162;1;0;5;5;12;5;1,1;7;1
391;TCM-Survey;interview;1;2;16;2;1;12;1;2;2;1;1;1;7;1;;1;2;1;1;2;1;;;53;27;14;27;33;154;1;0;5;5;16;8;1,23;14;1
392;TCM-Survey;interview;1;1;36;7;1;12;1;1;1;2;1;1;8;9;;1;1;1;1;1;2;;;1703;39;27;23;22;164;1;0;5;5;12;4;0,9;8;1
393;TCM-Survey;interview;1;1;56;4;1;8;2;1;1;2;1;2;3;2;;1;1;3;4;1;1;;;34;43;33;13;27;150;1;0;5;5;8;1;1,22;14;1
394;TCM-Survey;interview;1;1;26;6;1;4;2;2;3;6;6;6;4;8;;3;3;5;5;2;1;;;43;56;27;41;58;225;1;0;5;5;4;1;0,8;2;1
395;TCM-Survey;interview;1;2;19;2;1;12;2;2;3;6;6;6;7;8;;2;2;1;4;3;6;;;10;32;17;14;25;98;1;0;5;5;12;7;1,72;59;1
396;TCM-Survey;interview;1;1;24;6;1;3;2;1;2;1;4;4;3;1;;1;2;1;1;2;1;;;55;58;15;23;28;179;1;0;5;5;0;0;1,09;9;1
397;TCM-Survey;interview;1;1;26;5;1;6;2;1;2;1;1;1;4;1;;1;2;1;1;2;1;;;33;50;18;19;37;157;1;0;5;5;8;1;1,16;9;1
398;TCM-Survey;interview;1;1;14;1;6;2;2;2;3;6;6;6;7;1;;2;2;3;3;2;1;;;16;44;34;20;52;166;1;0;5;5;8;1;1,27;23;1
399;TCM-Survey;interview;1;1;73;5;1;12;2;1;2;1;1;3;5;1;;1;2;1;1;1;1;;;27;41;21;17;23;129;1;0;5;5;12;4;1,37;19;1
400;TCM-Survey;interview;1;1;29;6;1;7;2;1;2;1;7;1;3;1;;2;2;1;2;2;1;;;416;36;22;26;32;169;1;0;5;5;8;1;0,86;4;1
401;TCM-Survey;interview;1;2;28;7;1;8;2;2;3;1;3;3;7;1;;2;2;1;1;2;1;;;49;33;14;16;38;150;1;0;5;5;8;1;1,25;13;1
402;TCM-Survey;interview;1;1;20;4;1;5;2;1;2;1;2;1;8;1;;1;1;3;1;2;1;;;47;34;23;18;43;165;1;0;5;5;8;1;1,07;5;1
404;TCM-Survey;interview;1;1;26;7;1;5;2;2;2;1;1;1;2;1;;2;1;1;1;2;1;;;143;53;29;22;46;293;1;0;5;5;8;1;0,73;0;1
405;TCM-Survey;interview;1;2;60;4;1;11;1;1;2;1;1;1;4;1;;2;2;3;1;1;1;;;25;43;20;15;21;124;1;0;5;5;12;4;1,46;23;1
406;TCM-Survey;interview;1;2;51;7;1;8;1;2;2;1;4;2;7;1;;2;1;1;1;2;1;;;197;42;13;24;44;320;1;0;5;5;8;1;0,95;9;1
407;TCM-Survey;interview;1;2;19;3;6;4;2;1;2;1;4;3;8;1;;1;1;1;1;2;1;;;91;34;20;21;20;186;1;0;5;5;12;5;1,16;13;1
408;TCM-Survey;interview;1;1;60;5;3;12;1;1;2;1;3;3;6;1;;1;2;1;1;2;1;;;21;46;26;15;38;146;1;0;5;5;8;1;1,32;18;1
409;TCM-Survey;interview;1;2;33;7;1;11;2;1;2;1;2;1;5;1;;1;2;1;1;2;1;;;371;38;18;15;34;158;1;0;5;5;8;3;0,99;8;1
410;TCM-Survey;interview;1;2;18;3;6;4;1;1;2;1;5;4;5;1;;1;1;1;2;2;1;;;52;59;36;31;99;277;1;0;5;5;8;1;0,68;0;1
411;TCM-Survey;interview;1;2;25;6;1;3;1;1;1;2;3;1;4;2;;1;2;1;1;1;2;;;2149;35;20;34;33;175;1;0;5;5;8;1;0,83;5;1
412;TCM-Survey;interview;1;2;29;4;6;5;2;1;2;1;4;3;3;1;;1;2;1;3;1;1;;;40;55;24;33;41;193;1;0;5;5;8;1;0,92;3;1
413;TCM-Survey;interview;1;1;61;8;1;8;2;2;3;6;6;6;7;1;;2;2;2;4;2;1;;;32;34;74;65;90;295;1;0;5;5;12;4;0,79;10;1
414;TCM-Survey;interview;1;1;77;4;3;5;1;1;2;1;3;1;7;1;;1;1;1;1;2;1;;;32;49;22;18;42;163;1;0;5;5;8;1;1,11;8;1
415;TCM-Survey;interview;1;1;59;2;2;12;1;1;2;1;7;3;3;1;;3;2;3;1;2;1;;;58;70;24;18;52;222;1;0;5;5;8;1;0,86;1;1
416;TCM-Survey;interview;1;1;25;6;1;3;2;2;2;1;6;3;4;1;;1;4;3;5;2;1;;;77;44;37;12;35;205;1;0;5;5;12;4;0,99;6;1
417;TCM-Survey;interview;1;1;27;6;1;7;1;1;2;1;2;1;4;1;;2;2;1;1;2;1;;;40;56;17;17;30;160;1;0;5;5;8;1;1,17;11;1
418;TCM-Survey;interview;1;1;32;7;1;5;1;1;2;1;2;2;3;1;;2;2;1;1;2;1;;;31;43;14;14;33;135;1;0;5;5;8;1;1,38;19;1
421;TCM-Survey;interview;1;2;20;2;1;4;2;1;2;1;3;2;2;1;;1;2;1;2;2;1;;;148;77;39;28;34;326;1;0;5;5;0;0;0,66;1;1
422;TCM-Survey;interview;1;2;41;7;1;6;1;1;1;1;3;4;3;1;;1;1;1;1;1;1;;;161;39;39;33;52;324;1;0;5;5;12;4;0,67;1;1
423;TCM-Survey;interview;1;1;56;2;1;4;2;1;2;1;2;1;7;3;;1;2;4;3;2;1;;;107;123;101;18;162;511;1;0;5;5;8;1;0,47;1;1
424;TCM-Survey;interview;1;2;65;2;1;6;2;1;2;1;2;1;7;1;;2;1;1;3;2;1;;;41;69;31;27;21;189;1;0;5;5;4;1;1,02;10;1
425;TCM-Survey;interview;1;1;15;5;6;1;2;1;2;1;2;1;4;1;;2;2;1;4;2;1;;;1016;62;41;22;29;207;1;0;5;5;4;1;0,69;2;1
426;TCM-Survey;interview;1;1;75;1;3;4;2;2;3;6;6;6;7;8;;1;2;1;4;1;2;;;11;45;49;19;164;288;1;0;5;5;12;4;1,14;38;1
427;TCM-Survey;interview;1;1;30;6;1;7;2;1;2;1;7;2;2;1;;2;2;1;1;2;1;;;34;42;21;17;34;148;1;0;5;5;8;1;1,19;9;1
428;TCM-Survey;interview;1;2;20;2;1;4;1;1;1;2;3;2;1;1;;1;2;1;4;1;2;;;61;41;22;18;52;194;1;0;5;5;4;1;0,96;2;1
429;TCM-Survey;interview;1;1;72;3;3;6;2;1;2;1;1;1;5;1;;1;2;1;1;2;1;;;171;58;21;18;47;315;1;0;5;5;4;1;0,81;2;1
430;TCM-Survey;interview;1;1;19;4;1;3;2;1;2;1;4;2;2;1;;1;2;1;1;2;1;;;46;49;22;18;31;166;1;0;5;5;8;1;1,07;5;1
432;TCM-Survey;interview;1;2;25;4;1;6;1;1;2;1;5;2;6;1;;2;2;1;1;2;1;;;40;23;13;12;21;109;1;0;5;5;12;4;1,68;34;1
434;TCM-Survey;interview;1;2;44;7;1;7;1;1;1;1;2;1;3;1;;2;2;1;2;2;1;;;72;42;27;16;44;201;1;0;5;5;8;1;0,94;2;1
435;TCM-Survey;interview;1;1;19;4;6;4;1;1;2;1;5;2;7;1;;1;1;3;1;1;2;;;36;48;51;24;35;194;1;0;5;5;8;1;0,94;5;1
437;TCM-Survey;interview;1;1;24;5;1;5;2;2;3;6;6;6;3;1;;1;1;3;4;2;1;;;81;47;21;16;67;232;1;0;5;5;0;0;0,89;3;1
438;TCM-Survey;interview;1;1;56;7;1;11;1;1;1;1;2;2;7;1;;1;2;1;1;1;1;;;87;40;19;19;47;212;1;0;5;5;8;1;0,95;4;1
439;TCM-Survey;interview;1;2;35;3;1;5;1;1;2;1;4;2;2;1;;2;2;1;2;2;1;;;52;42;25;17;24;160;1;0;5;5;12;4;1,13;7;1
441;TCM-Survey;interview;1;2;27;2;1;10;1;1;2;1;2;1;7;1;;1;1;1;2;2;1;;;23;31;97;40;133;324;1;0;5;5;4;0;0,94;17;1
442;TCM-Survey;interview;1;2;56;4;1;6;1;1;1;1;2;2;6;1;;1;1;1;1;1;1;;;37;46;12;13;26;134;1;0;5;5;8;1;1,45;23;1
443;TCM-Survey;interview;1;2;28;4;6;3;2;1;2;1;2;2;2;1;;1;1;1;5;2;1;;;66;56;21;13;51;207;1;0;5;5;12;4;0,98;6;1
444;TCM-Survey;interview;1;2;46;7;1;6;2;1;1;5;1;1;5;1;;2;2;1;1;1;5;;;118;59;23;16;34;250;1;0;5;5;8;1;0,9;3;1
445;TCM-Survey;interview;1;1;19;4;6;1;1;2;2;1;4;1;5;1;;1;1;1;1;1;1;;;47;51;28;22;35;183;1;0;5;5;4;1;0,95;2;1
446;TCM-Survey;interview;1;2;32;7;1;11;1;1;2;1;3;2;7;1;;1;2;1;1;1;2;;;40;57;18;23;40;178;1;0;5;5;8;1;1,03;7;1
447;TCM-Survey;interview;3;2;22;6;6;1;1;1;2;1;4;3;7;1;;2;2;1;2;2;1;;;65;51;14;30;74;234;1;0;5;5;0;0;0,9;7;1
